month,category,campaign_id,campaign_name,platform,spend,cpc,clicks,ctr,impressions,leads,cpl
2024-09,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2664.74,2.4,1110,0.019,58400,38,70.12
2024-09,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2622.98,1.61,1629,0.0227,71757,47,55.81
2024-10,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2872.71,2.17,1323,0.0376,35174,64,44.89
2024-10,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2747.7,2.05,1340,0.0184,72917,69,39.82
2024-11,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2912.79,1.9,1533,0.0298,51485,70,41.61
2024-11,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2668.61,2.46,1084,0.0271,40046,44,60.65
2024-12,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2184.78,3.8,574,0.0272,21129,24,91.03
2024-12,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2027.95,1.78,1139,0.0196,58066,67,30.27
2025-01,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2563.38,1.66,1544,0.0087,178021,68,37.7
2025-01,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2840.08,2.97,956,0.0082,116158,47,60.43
2025-02,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2534.44,1.98,1280,0.0252,50872,38,66.7
2025-02,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2206.63,1.96,1125,0.0228,49333,62,35.59
2025-03,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2436.53,2.04,1194,0.0099,120954,60,40.61
2025-03,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2512.41,1.65,1522,0.018,84389,40,62.81
2025-04,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,3012.08,3.84,784,0.0083,94479,36,83.67
2025-04,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2631.25,2.91,904,0.0112,80718,39,67.47
2025-05,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2695.73,2.76,976,0.016,60863,55,49.01
2025-05,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2428.61,1.63,1489,0.0283,52620,80,30.36
2025-06,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2750.31,3.69,745,0.0392,19023,38,72.38
2025-06,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2196.41,3.81,576,0.0156,36980,17,129.2
2025-07,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2232.12,2.38,937,0.0243,38558,45,49.6
2025-07,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2792.51,3.61,773,0.0186,41566,20,139.63
2025-08,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2136.76,1.81,1180,0.0368,32063,50,42.74
2025-08,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2928.44,3.17,923,0.0184,50060,45,65.08
