month,category,campaign_id,campaign_name,platform,spend,cpc,clicks,ctr,impressions,leads,cpl
2024-09,Assurance,ASS-01,Assurance 1 (Meta Ads),Meta Ads,2144.16,1.46,1468,0.0169,86905,56,38.29
2024-09,Assurance,ASS-02,Assurance 2 (Google Ads),Google Ads,2286.48,3.41,670,0.0113,59446,30,76.22
2024-09,Banque,BAN-01,Banque 1 (Google Ads),Google Ads,2652.94,2.55,1040,0.0224,46481,29,91.48
2024-09,Banque,BAN-02,Banque 2 (Google Ads),Google Ads,2080.76,3.67,566,0.0323,17533,14,148.63
2024-09,Immobilier,IMM-01,Immobilier 1 (Google Ads),Google Ads,2781.49,3.81,730,0.0105,69381,21,132.45
2024-09,Immobilier,IMM-02,Immobilier 2 (Google Ads),Google Ads,2766.44,3.07,901,0.0363,24797,27,102.46
2024-09,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2664.74,2.4,1110,0.019,58400,38,70.12
2024-09,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2622.98,1.61,1629,0.0227,71757,47,55.81
2024-10,Assurance,ASS-01,Assurance 1 (Meta Ads),Meta Ads,2560.96,1.93,1326,0.0103,128927,73,35.08
2024-10,Assurance,ASS-02,Assurance 2 (Google Ads),Google Ads,2668.55,2.84,939,0.0158,59302,45,59.3
2024-10,Banque,BAN-01,Banque 1 (Google Ads),Google Ads,2109.66,2.63,802,0.0347,23118,19,111.03
2024-10,Banque,BAN-02,Banque 2 (Google Ads),Google Ads,1991.55,2.39,833,0.0294,28289,34,58.58
2024-10,Immobilier,IMM-01,Immobilier 1 (Google Ads),Google Ads,2758.45,1.64,1681,0.0343,49012,74,37.28
2024-10,Immobilier,IMM-02,Immobilier 2 (Google Ads),Google Ads,2290.42,2.5,916,0.0101,90531,43,53.27
2024-10,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2872.71,2.17,1323,0.0376,35174,64,44.89
2024-10,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2747.7,2.05,1340,0.0184,72917,69,39.82
2024-11,Assurance,ASS-01,Assurance 1 (Meta Ads),Meta Ads,2234.19,2.5,893,0.0124,71861,44,50.78
2024-11,Assurance,ASS-02,Assurance 2 (Google Ads),Google Ads,2523.59,3.39,744,0.0356,20925,26,97.06
2024-11,Banque,BAN-01,Banque 1 (Google Ads),Google Ads,2592.2,3.36,771,0.0252,30537,32,81.01
2024-11,Banque,BAN-02,Banque 2 (Google Ads),Google Ads,2744.4,2.57,1067,0.0267,40002,32,85.76
2024-11,Immobilier,IMM-01,Immobilier 1 (Google Ads),Google Ads,2163.75,2.13,1015,0.0257,39489,48,45.08
2024-11,Immobilier,IMM-02,Immobilier 2 (Google Ads),Google Ads,2160.48,3.2,675,0.0117,57862,31,69.69
2024-11,Travaux,TRA-01,Travaux 1 (Google Ads),Google Ads,2912.79,1.9,1533,0.0298,51485,70,41.61
2024-11,Travaux,TRA-02,Travaux 2 (Google Ads),Google Ads,2668.61,2.46,1084,0.0271,40046,44,60.65
2024-12,Assurance,ASS-01,Assurance 1 (Meta Ads),Meta Ads,2369.04,1.61,1471,0.0144,102400,66,35.89
2024-12,Assurance,ASS-02,Assurance 2 (Google Ads),Google Ads,2321.79,1.9,1221,0.0385,31704,81,28.66
2024-12,Banque,BAN-01,Banque 1 (Google Ads),Google Ads,2784.81,3.93,708,0.0324,21863,24,116.03
2024-12,Banque,BAN-02,Banque 2 (Google Ads),Google Ads,2802.75,1.77,1583,0.028,56516,71,39.48
